"","X","Y","Z"
"1",1,1,54.0741697910063
"2",2,1,50.3965140183098
"3",3,1,50.2477048827564
"4",4,1,50.0778482731224
"5",5,1,50.2987293521026
"6",6,1,50.5482303842162
"7",7,1,50.3975192057614
"8",8,1,50.4773627437509
"9",9,1,50.4589371862142
"10",10,1,49.5784246497829
"11",11,1,49.717145361583
"12",12,1,50.3293700892971
"13",13,1,50.3135245718981
"14",14,1,49.3937994740663
"15",15,1,48.2877609452025
"16",16,1,47.8625337357384
"17",17,1,47.8255807619391
"18",18,1,47.8588157875655
"19",19,1,48.1547158515806
"20",20,1,46.6490893135821
"21",21,1,47.5393255141609
"22",22,1,47.9583439923753
"23",23,1,47.4880327179391
"24",24,1,47.1088278298953
"25",25,1,46.9034771226068
"26",26,1,46.8510430975904
"27",27,1,46.5754131848692
"28",28,1,46.8029726891481
"29",29,1,46.9528100396994
"30",30,1,46.7190962536485
"31",31,1,47.0285127638409
"32",32,1,47.1563712823777
"33",33,1,47.8848247665403
"34",34,1,48.7373650028274
"35",35,1,48.7242473074038
"36",36,1,48.9102563643091
"37",37,1,48.2831381273028
"38",38,1,46.8212149348567
"39",39,1,47.6331370050165
"40",40,1,47.0163122424147
"41",41,1,47.0636477972529
"42",42,1,47.3318436429374
"43",43,1,48.0519608687637
"44",44,1,48.0918528585625
"45",45,1,47.8127069763272
"46",46,1,47.3566876951309
"47",47,1,47.3822468741198
"48",48,1,47.2477492925875
"49",49,1,47.9887566340483
"50",50,1,47.9056950597001
"51",1,2,52.3984311118306
"52",2,2,51.2442104794507
"53",3,2,51.0448381294086
"54",4,2,50.455094490098
"55",5,2,50.7420664698178
"56",6,2,50.9343714550018
"57",7,2,50.203395914806
"58",8,2,50.5348430735934
"59",9,2,50.1905330381138
"60",10,2,49.9576039589109
"61",11,2,50.2993590728055
"62",12,2,50.1837932925212
"63",13,2,51.2593020310203
"64",14,2,50.2538406301392
"65",15,2,49.9198594575163
"66",16,2,49.8822700376039
"67",17,2,49.4198252179418
"68",18,2,49.424443048961
"69",19,2,49.2092355423361
"70",20,2,49.3026630025851
"71",21,2,50.0523300168789
"72",22,2,50.1603856947134
"73",23,2,49.9068823849247
"74",24,2,49.5865823691246
"75",25,2,49.1670520761521
"76",26,2,49.248074992248
"77",27,2,48.9053899594791
"78",28,2,48.2424396909858
"79",29,2,48.1278594660935
"80",30,2,48.2827875344819
"81",31,2,48.8745342998834
"82",32,2,48.1160338149281
"83",33,2,48.6240426238815
"84",34,2,49.2986604928066
"85",35,2,49.3092226899537
"86",36,2,49.9546687897539
"87",37,2,48.5148311728475
"88",38,2,48.0891122087113
"89",39,2,48.5610711796599
"90",40,2,48.3367074633528
"91",41,2,49.0523617696807
"92",42,2,48.6041027314497
"93",43,2,48.5090322701088
"94",44,2,48.8692146901667
"95",45,2,48.3898085947518
"96",46,2,47.7589114293406
"97",47,2,47.2168910023865
"98",48,2,47.1167077999658
"99",49,2,47.8309087910238
"100",50,2,46.8718040716441
"101",1,3,51.7579880167358
"102",2,3,51.5579457719984
"103",3,3,51.3474787557585
"104",4,3,50.8587460660923
"105",5,3,50.0941788071769
"106",6,3,50.0496314166137
"107",7,3,49.84954594389
"108",8,3,50.0903573630408
"109",9,3,50.2559641677482
"110",10,3,50.086183350597
